""	"HCC3_BaP_C0_093_S93"	"HCC3_BaP_C0_094_S94"	"HCC3_BaP_C5_053_S53"	"HCC3_BaP_C5_054_S54"	"HCC3_CISP_C0_281_S281"	"HCC3_CISP_C0_282_S282"	"HCC3_CISP_C5_241_S241"	"HCC3_CISP_C5_242_S242"
"PLS1_5211"	1202	1123	503	221	1746	1267	868	643
"PLSCR1_5214"	410	406	520	458	467	305	751	452
"PLSCR3_5215"	49	48	81	78	133	170	208	153
"PMAIP1_5221"	3	0	17	13	18	4	51	39
"PMM2_5224"	241	206	135	83	720	551	131	112
"PMVK_5228"	15	5	11	6	21	12	34	11
"PNKP_5229"	721	813	1159	636	3173	2119	1717	1122
"PNP_5231"	1	4	0	0	3	4	1	0
"POLB_5242"	128	112	157	118	202	106	274	196
"POLD4_5245"	2	12	5	4	21	8	38	10
"POLG2_5253"	39	48	63	49	64	41	74	44
"POLR1C_5255"	39	54	74	58	66	69	118	56
"POLR2E_5259"	13	27	28	6	52	42	22	17
"POLR2I_5260"	60	38	45	37	84	51	93	46
"POLR2K_5263"	5623	5448	5051	3968	9719	7872	7040	6053
"POMZP3_5273"	0	2	2	0	5	3	17	7
"POP4_5281"	71	63	49	33	85	93	71	84
"POP5_5282"	316	250	223	176	333	279	277	153
"POU5F1_5291"	0	1	0	0	16	0	4	8
"PP7080_5295"	32	34	48	24	84	39	101	42
"PPARD_5301"	240	217	160	81	461	393	221	118
"PPARD_5302"	0	0	0	2	2	0	0	0
"PPIA_5317"	71	78	64	81	101	72	153	85
"PPIC_5321"	1159	1088	1153	827	1225	951	1044	622
"PPIE_5325"	213	175	194	119	335	236	346	216
"PPIL1_5328"	281	258	265	184	778	585	295	281
"PPOX_5336"	6	2	4	2	13	1	7	10
"PPP1R13B_5339"	14	11	20	2	23	6	17	10
"PPP2CA_5356"	507	480	551	430	670	666	1350	759
"PPP2R3C_5360"	4	12	11	5	23	15	19	8
"PPP2R5A_5364"	470	391	102	87	1026	868	152	126
"PPP2R5E_5368"	30	19	25	14	77	50	30	19
"PRCP_5384"	5	1	2	1	3	1	0	3
"PRDX1_5393"	934	926	994	738	1084	647	1728	1193
"PRKACA_5404"	334	290	300	237	803	672	918	619
"PRKACB_5409"	89	94	107	72	178	95	142	98
"PRKAG1_5413"	3828	3577	2275	1385	7198	5587	3119	2216
"PRKAG2_5416"	0	0	0	0	0	0	0	0
"PRKCA_5422"	21	17	6	0	40	16	0	5
"PRKCD_5426"	221	198	256	188	235	244	594	364
"PRKCH_5429"	18	2	17	6	12	8	36	15
"PRKCQ_5430"	3	5	0	0	7	1	0	0
"PRKX_5435"	6	2	11	0	7	9	13	6
"PROS1_5451"	1082	978	500	321	1290	936	736	442
"PRPF4_5463"	45	24	76	28	37	33	92	27
"PRR15L_5469"	0	2	0	0	9	5	0	2
"PRR7_5473"	148	108	107	66	473	417	236	140
"PRSS23_5481"	287	193	172	146	530	433	489	323
"PRUNE1_5487"	27	27	10	8	49	17	28	27
"PSAP_5489"	521	532	356	216	581	390	586	257
"PSEN1_5495"	147	144	154	155	213	103	220	152
"PSENEN_5496"	149	117	157	124	366	294	347	212
"PSIP1_5500"	44	35	82	77	30	33	132	80
"PSMA7_5506"	2533	2267	2019	1241	4907	4054	3320	2464
"PSMB10_5508"	3	0	0	0	5	0	3	0
"PSMB3_5511"	813	847	755	694	2052	1884	2145	1751
"PSMB8_5515"	1	1	0	0	0	1	2	2
"PSMC3_5517"	3	0	4	5	3	2	29	12
"PSMC6_5518"	56	54	59	55	107	71	129	86
"PSMD10_5521"	310	265	493	472	577	381	1181	799
"PSMD14_5527"	300	328	381	173	488	369	767	523
"PSMD2_5528"	19	5	41	15	29	9	77	36
"PSMD4_5530"	55	40	83	68	122	122	204	117
"PSMD9_5533"	0	0	0	0	9	0	4	0
"PSME1_5534"	105	60	64	57	121	82	179	109
"PSME2_5535"	879	969	761	523	2098	1689	1736	1240
"PSME3_5538"	38	54	63	69	53	59	107	65
"PSMF1_5541"	83	118	55	46	203	145	183	114
"PSMG1_5544"	2244	2027	1699	1010	3592	3060	1784	1487
"PSRC1_5548"	3	7	6	17	55	49	103	81
"PTEN_5553"	20	15	8	7	33	9	8	5
"PTGFR_5569"	30	15	31	18	43	34	74	62
"PTGS2_5577"	3	3	68	48	25	17	75	55
"PTK2_5583"	51	32	21	32	53	40	40	40
"PTK2B_5584"	47	38	1	1	150	60	17	6
"HACD3_5591"	34	40	21	13	44	40	101	72
"PTPN1_5592"	36	25	26	32	66	68	88	62
"PTPN12_5598"	177	246	203	105	340	281	347	136
"PTPN6_5601"	46	45	31	33	140	102	80	43
"PTPRC_5605"	0	0	0	0	0	0	0	0
"PTPRF_5611"	3	2	3	4	13	13	16	3
"PTPRK_5618"	10	16	7	9	18	17	11	11
"PTTG1_5623"	14	15	12	17	30	39	277	153
"PUF60_5625"	95	102	71	47	266	208	186	86
"PUS7_5632"	1398	1264	647	359	3270	2566	897	766
"PWP1_5638"	57	46	66	31	118	102	80	70
"PXMP2_5641"	124	160	22	8	201	153	59	48
"PXN_5642"	8	16	25	26	33	15	68	38
"PYCR1_5644"	0	0	1	0	0	0	0	0
"PYGL_5647"	153	144	140	74	202	128	316	204
"RAB11FIP2_5656"	98	84	164	89	89	85	391	196
"RAB1A_5660"	1077	1018	1004	615	1310	982	1412	939
"RAB21_5663"	292	266	268	195	299	260	670	504
"RAB27A_5667"	289	252	259	247	417	331	556	284
"RAB31_5670"	0	0	0	0	1	0	0	0
"RAB4A_5674"	20	19	41	19	69	30	39	37
"RAC1_5694"	18931	18069	15076	10329	30191	26197	22801	15888
"RAC2_5695"	99	82	358	347	199	249	1185	709
"RAD21_5698"	202	194	224	139	245	196	485	276
"RAD51C_5708"	22	17	57	54	55	34	220	127
"RAD9A_5709"	81	67	112	72	209	188	201	108
"RAE1_5712"	138	150	139	109	163	159	248	132
"RAI14_5716"	17	9	11	10	14	15	40	17
"RALA_5719"	85	71	132	77	72	70	171	133
"RALB_5720"	2	3	2	0	9	3	7	2
"RALGDS_5721"	9	8	10	2	2	7	23	9
"RAN_5725"	6980	5501	8961	6879	11072	9798	10142	8274
"RAP1GAP_5729"	0	0	2	0	1	1	0	3
"RASA1_5742"	31	17	42	27	18	29	75	19
"RASSF1_5747"	79	120	188	111	234	209	238	128
"RB1_5752"	69	65	62	71	89	60	199	109
"RBKS_5758"	45	48	25	15	281	193	88	66
"RBM15B_5765"	4	1	5	6	12	19	11	5
"RBM34_5768"	46	28	39	21	150	101	135	91
"RBM6_5774"	299	343	258	99	349	334	254	165
"RBX1_5781"	7	7	8	0	41	20	21	15
"RECQL_5786"	282	283	462	371	438	423	793	480
"REEP5_5789"	569	518	330	240	951	625	615	341
"REG1A_5790"	1	0	2	0	6	0	0	1
"RFC2_5805"	28	7	29	28	21	8	92	48
"RFC3_5808"	83	57	526	393	244	278	1170	812
"RFC4_5811"	18	13	71	64	23	23	153	98
"RFC5_5812"	10	15	34	28	56	55	72	75
"RFNG_5813"	56	49	51	27	174	114	104	87
"RFX5_5817"	61	54	103	72	105	67	265	153
"RGPD2_5823"	4	3	7	10	24	18	6	5
"RHEB_5834"	13967	13815	11036	7840	14922	12706	15096	11473
"RHOA_5838"	7023	6541	5602	3675	11077	9483	7469	5372
"RNASEH2A_5875"	28	28	198	108	79	89	556	392
"RNF167_5885"	1911	1673	1070	785	2488	1956	1336	886
"RNH1_5893"	130	172	105	53	405	435	173	84
"RNMT_5894"	18	30	54	39	51	50	91	49
"RNPS1_5895"	4251	3916	3691	2340	8099	6851	3153	2464
"RPA1_5901"	0	0	0	0	1	3	3	0
"RPA2_5905"	12	4	9	9	7	18	71	36
"RPA3_5906"	55	48	89	69	187	161	395	335
"RPAP3_5909"	1921	1537	1742	771	3274	2454	2054	1398
"RPIA_5911"	6	8	0	0	23	15	15	8
"RPL11_5914"	31186	29506	22755	17081	44897	39884	37063	29653
"RPL13A_5916"	319	345	152	117	390	351	246	87
"RPL17_5919"	234	197	149	111	453	377	485	510
"RPL19_5921"	9492	8674	7653	5352	11323	9018	12276	7006
"RPL22_5923"	595	582	299	195	898	781	249	173
"RPL24_5926"	20757	18820	14238	9627	53383	46022	27876	25277
"RPL26_5927"	1427	1328	787	646	2580	1651	2887	2186
"RPL27_5929"	401	401	318	231	1415	987	1043	1105
"RPL3_5932"	15319	13883	5695	4089	21506	17034	9915	6495
"RPL36_5938"	2147	1953	2242	1583	3426	3214	3720	3114
"RPL39L_5945"	0	0	0	0	0	0	0	0
"RPL4_5948"	7653	7167	6306	5067	11442	8070	11221	8214
"RPL6_5953"	959	781	899	657	1196	858	2398	1401
"RPL7A_5954"	3653	3287	2646	1756	10844	9186	5788	4847
"RPL8_5955"	3215	2880	3575	2620	7839	5818	8121	6156
"RPL9_5956"	5412	4612	4071	3115	9523	8130	7765	6099
"RPLP0_5959"	13279	11957	10165	6966	37201	32782	14556	11102
"RPN1_5965"	7173	6843	5613	3469	22468	16527	10022	7012
"RPS13_5977"	2057	1588	1377	1044	4302	3891	3224	3016
"RPS17_5980"	1	0	0	0	3	1	1	0
"RPS18_5982"	8179	7874	5590	4177	14775	14269	9512	8350
"RPS2_5983"	7100	6340	6702	4887	20611	19612	12553	9455
"RPS20_5987"	14	9	19	14	47	23	33	45
"RPS25_5991"	3026	2819	2380	1978	3324	2620	4702	3494
"RPS27A_5998"	676	530	351	289	944	681	1116	669
"RPS27L_6001"	471	424	310	302	1228	834	1836	1625
"RPS4Y1_6010"	0	2	0	3	0	3	0	5
"RPS5_6011"	1512	1224	1161	971	3515	2782	3618	2589
"RPS6_6014"	3305	2959	2932	2074	5809	4396	5154	3702
"RPS6KA1_6015"	30	22	10	8	38	40	79	46
"RPS7_6021"	7950	6922	5427	4137	15625	13793	8174	6890
"RPSA_6025"	104	121	133	86	362	351	624	386
"RRAGA_6028"	1035	903	827	706	1054	867	1113	616
"RRM1_6031"	66	80	197	186	128	146	709	426
"RRM2_6034"	39	43	314	202	117	84	997	726
"RRP12_6035"	82	78	97	49	235	156	139	67
"RRP1B_6038"	83	97	97	85	79	72	113	69
"RRP8_6039"	50	61	39	46	90	52	59	42
"RRS1_6040"	79	53	44	36	66	25	78	52
"RSAD2_6043"	0	0	0	0	1	0	0	0
"RSU1_6052"	130	129	100	73	255	201	127	73
"RTN2_6054"	1	10	6	5	30	33	25	7
"RUVBL1_6065"	240	242	291	204	352	264	391	248
"RWDD4_6068"	776	689	515	348	1039	811	848	802
"S100A4_6083"	65	65	26	13	222	161	192	122
"SACM1L_6098"	742	655	426	345	968	920	622	316
"SAT1_6103"	29185	27398	45348	31117	38882	30577	37139	24483
"SATB1_6106"	202	181	119	74	402	291	233	160
"SCAND1_6116"	46	42	56	30	127	115	84	54
"SCARB1_6117"	43	50	56	27	92	64	74	21
"SCCPDH_6120"	4427	4217	1812	1201	5352	3567	1936	1441
"SCP2_6152"	1211	1316	693	487	900	635	702	468
"SCRN1_6155"	2	11	5	3	8	7	14	2
"SCYL3_6157"	146	112	101	38	254	223	134	101
"SDC1_6160"	1119	1064	1070	713	3508	2198	3867	2537
"SDHB_6173"	776	714	425	232	1008	708	815	539
"SEC11A_6181"	19	24	0	9	59	47	67	27
"SENP6_6219"	670	597	543	327	690	522	1121	766
"SEPT5_6225"	0	2	5	0	5	1	10	18
"SERPINE1_6253"	8565	6953	12839	10052	14726	14627	24779	14146
"SESN1_6261"	143	135	357	240	206	159	544	361
"SFN_6269"	0	6	0	3	0	11	26	28
"SGCB_6277"	265	276	409	290	512	450	764	573
"SGK3_6285"	4	1	0	0	13	15	4	0
"SGO2_6289"	42	37	108	109	86	123	348	180
"SH3BP5_6291"	0	1	0	2	6	3	3	0
"SHC1_6301"	215	162	622	535	623	413	1353	885
"SHCBP1_6304"	69	41	248	172	121	124	581	338
"SIRT3_6320"	12	12	5	8	48	34	15	3
"SKIV2L_6323"	5	6	0	0	12	10	10	1
"SKP1_6326"	5826	5914	4701	3203	10637	8463	4732	3803
"SLC11A2_6335"	458	471	121	98	1232	877	210	99
"SLC16A7_6342"	6	3	0	6	13	7	3	3
"SLC1A4_6371"	0	4	1	2	0	0	7	5
"SLC25A13_6394"	295	271	110	71	465	406	266	148
"SLC25A14_6397"	6	1	10	8	11	0	3	12
"SLC25A4_6406"	4165	4188	2286	1580	6107	4656	3721	2198
"SLC25A46_6412"	32	27	31	17	35	28	40	17
"SLC27A2_6426"	113	128	31	22	91	96	59	29
"SLC27A3_6427"	15	25	9	9	23	16	62	26
"SLC2A2_6439"	677	608	22	2	418	233	27	28
"SLC2A3_6444"	0	0	0	0	4	0	0	0
"SLC2A6_6447"	28	18	35	8	109	68	71	42
"SLC35A1_6463"	56	51	58	53	80	85	121	110
"SLC35A3_6466"	1078	902	618	449	1290	1366	1056	712
"SLC35A5_6470"	1563	1391	1095	643	2427	2007	1465	1044
"SLC35B1_6471"	98	69	111	90	162	123	132	58
"SLC35F2_6477"	36	63	49	49	98	53	48	11
"SLC37A4_6478"	39	23	12	7	82	68	17	7
"SLC47A1_6494"	7	0	0	3	20	4	7	13
"SLC5A6_6501"	0	2	0	2	1	10	2	4
"SLC6A14_6512"	0	0	0	0	3	0	0	0
"SLC6A19_6515"	0	0	0	0	4	0	0	0
"SLC6A3_6518"	0	0	0	0	9	0	1	0
"SLCO1B3_6538"	0	0	0	0	0	0	0	0
"SLCO2B1_6541"	1109	1183	50	5	2190	1569	108	99
"SLK_6551"	1248	1123	1023	399	1877	1385	1429	812
"PRELID3B_6554"	727	652	604	506	1144	772	1328	815
"SMAD1_6558"	20	14	4	6	23	18	4	5
"SMAD3_6562"	448	417	306	135	1428	1342	787	501
"SMAD4_6563"	32	18	22	7	65	30	30	4
"SMAD5_6566"	505	515	862	648	509	369	1530	957
"SMAP1_6570"	21	34	13	13	57	40	62	40
"SMARCA4_6573"	110	94	93	61	195	107	143	85
"SMARCC1_6575"	112	77	68	36	174	142	86	95
"SMARCD2_6579"	5	0	1	0	19	10	0	2
"SMC1A_6580"	21	12	27	29	60	49	40	31
"SMC3_6583"	64	37	92	89	74	49	175	141
"SMC4_6586"	116	92	296	211	302	255	615	394
"SMIM19_6589"	3117	3015	1166	811	3866	3122	1624	1375
"SMNDC1_6595"	1386	1209	1388	1077	2617	1686	1678	1288
"SNAP25_6607"	0	0	0	0	0	1	0	0
"SNCA_6612"	543	499	408	279	904	727	578	440
"SNHG8_6618"	13986	13025	6804	4521	22133	18810	10460	8621
"SNRPA_6627"	79	92	95	71	178	118	271	218
"SNRPG_6644"	1990	1752	1639	1220	5630	5035	4517	4414
"SNX11_6650"	7	9	6	3	22	17	10	11
"SNX13_6653"	2392	2083	1118	784	5852	3818	1319	1008
"SNX6_6655"	11	22	13	8	30	39	50	33
"SNX7_6656"	1036	1013	923	749	2572	2447	1409	935
"SOCS2_6660"	595	604	449	214	1125	932	563	286
"SORBS3_6675"	101	91	62	55	186	165	117	70
"SOX2_6683"	0	0	0	0	0	2	1	0
"SOX4_6686"	52	35	49	24	116	109	121	74
"SPAG4_6691"	73	42	36	31	327	313	136	93
"SPAG7_6692"	46	35	41	38	89	40	68	37
"SPANXA2_6696"	2714	2159	4279	3915	3810	3287	8327	6144
"SPANXB1_6698"	356	328	366	303	718	473	766	588
"SPC25_6704"	92	57	397	298	202	167	728	534
"SPDEF_6706"	4	8	0	0	29	20	6	3
"SPEN_6707"	294	312	252	125	481	427	364	120
"SPP1_6720"	69	55	39	12	179	128	68	105
"SPR_6721"	132	92	43	55	133	124	178	132
"SPRED2_6724"	92	44	128	97	135	99	298	145
"SPTAN1_6727"	68	76	100	63	74	63	250	70
"SPTLC2_6732"	57	45	16	8	37	53	45	31
"SQRDL_6737"	104	97	42	41	122	108	65	44
"SQSTM1_6740"	272	178	130	106	417	323	482	157
"SRC_6741"	3	0	0	0	0	2	2	6
"SRP9_6762"	1034	1095	773	607	1548	1035	1551	1162
"SRSF1_6768"	12	4	2	7	28	10	0	2
"SRSF7_6776"	120	71	97	101	128	106	101	89
"SSBP2_6782"	0	1	0	3	1	2	2	0
"SSR1_6784"	316	281	191	143	404	380	125	88
"ST3GAL5_6802"	18	20	15	14	18	34	36	23
"ST7_6809"	1189	1153	462	306	1737	1260	535	356
"STAMBP_6819"	10	4	10	1	8	4	19	14
"STAP2_6820"	118	135	40	53	195	169	275	166
"STAT1_6824"	71	49	79	61	67	23	120	87
"STAT3_6829"	75	33	52	44	101	61	159	102
"STAT5B_6835"	377	375	244	126	652	467	444	197
"STC1_6839"	4	2	31	12	26	20	46	60
"STK10_6844"	153	96	78	40	424	260	159	111
"STK25_6852"	434	397	342	282	1302	1009	1198	547
"STMN1_6857"	81	93	286	206	184	131	906	704
"STOML2_6858"	517	403	259	206	962	898	453	359
"STUB1_6861"	88	99	47	50	196	150	188	110
"STX1A_6864"	2	7	12	14	15	2	18	13
"STXBP1_6866"	165	173	203	185	218	213	239	103
"STXBP2_6867"	27	34	12	15	90	37	38	28
"SUCLA2_6870"	306	293	268	138	309	296	368	196
"SULT1A2_6875"	5	4	0	0	8	11	5	0
"SULT1B1_6880"	75	69	8	2	173	111	35	10
"SUMF1_6887"	109	99	47	21	134	125	61	24
"SUMO1_6890"	144	120	94	53	202	201	252	201
"SUPV3L1_6897"	92	57	74	55	70	53	88	47
"SUV39H1_6901"	60	77	149	113	348	335	286	215
"SUZ12_6905"	371	290	374	290	429	358	630	405
"SYK_6907"	6	4	11	3	33	16	45	12
"SYNE2_6916"	189	159	76	40	317	263	113	62
"SYNGR3_6917"	0	0	0	1	0	0	0	0
"SYPL1_6922"	1195	1042	1394	1032	1432	1236	2215	1208
"TAF7_6938"	101	75	113	107	69	71	230	112
"TAF9_6939"	916	790	826	661	1304	1092	1536	1133
"TALDO1_6942"	744	680	560	345	857	752	841	473
"TARBP1_6945"	270	337	149	98	626	480	154	121
"TRGC1_6949"	0	0	0	0	4	0	0	0
"TATDN2_6963"	31	38	30	12	24	15	43	24
"TBC1D10C_6964"	2	0	6	1	6	7	3	11
"TBC1D9B_6969"	727	630	672	404	1395	1047	881	472
"TBPL1_6978"	78	69	90	38	65	54	129	95
"TBX2_6983"	5	0	3	6	6	7	0	0
"TBXA2R_6990"	2	0	0	0	3	1	2	0
"TCEA2_6992"	42	34	41	26	49	49	57	30
"TCEB1_6998"	788	692	866	688	1119	972	1550	1116
"TCERG1_7000"	40	33	44	18	50	29	76	51
"TCFL5_7007"	80	113	39	81	108	51	191	101
"TCTA_7011"	103	74	83	34	454	358	226	160
"TCTN1_7014"	7	10	8	7	21	10	0	7
"TERF2IP_7027"	1250	1175	1884	1105	1363	1200	1797	1090
"TERT_7028"	0	0	0	0	4	6	3	1
"TES_7031"	1772	1586	1239	812	3127	2770	2497	1704
"TESK1_7032"	9	4	5	15	15	3	28	19
"TEX10_7033"	2	6	4	11	0	4	8	4
"TFAM_7036"	42	52	126	94	80	82	275	183
"TFAP2A_7039"	340	259	1087	780	1196	741	983	525
"TFDP1_7045"	503	472	596	400	841	824	1292	981
"TGFB3_7059"	22	21	5	21	42	51	37	16
"TGFBR2_7065"	2202	2043	694	485	3900	2840	1180	801
"THAP11_7070"	4	0	0	2	0	0	5	5
"TIAM1_7096"	2	0	0	1	3	0	5	3
"TICAM1_7097"	0	0	0	1	2	6	0	3
"TIMELESS_7100"	0	2	0	0	6	9	19	15
"TIMM22_7102"	16	15	12	7	21	22	39	26
"TIMM9_7106"	19	10	42	15	25	9	86	49
"TIMP2_7109"	24	25	18	12	26	33	32	14
"TIPARP_7116"	604	468	1559	989	532	506	883	451
"TJP1_7119"	3046	2776	2194	1317	4118	3136	2208	1417
"TK1_7120"	44	30	240	194	183	244	911	533
"TLE1_7124"	30	12	16	3	43	20	10	14
"TLK2_7125"	26	18	13	5	71	69	1	20
"TLR4_7131"	5	1	5	6	11	5	16	19
"TM2D2_7135"	15	17	29	8	12	15	18	5
"TM9SF2_7142"	770	686	744	374	896	658	1338	839
"TM9SF3_7143"	54	75	27	18	274	262	52	24
"TMCO1_7159"	26	20	6	11	64	44	42	31
"TMED10_7162"	120	146	97	88	172	184	138	93
"TMED2_7165"	19494	18938	14195	9635	28705	22564	14196	11387
"TMEM109_7168"	6	14	2	2	19	9	17	6
"TMEM110_7172"	3	12	9	1	11	16	16	2
"TMEM128_7178"	144	135	182	147	271	191	292	186
"TMEM14C_7183"	636	625	433	297	1080	769	1397	951
"TMEM5_7211"	463	486	561	353	640	442	552	311
"TMEM50A_7213"	26	19	32	36	36	35	75	47
"TMEM97_7217"	3650	3691	1821	1342	8907	6269	3093	2820
"TMX1_7229"	8	4	4	8	11	11	25	22
"TNF_7230"	0	0	0	0	2	1	0	0
"TNFRSF10B_7241"	71	72	111	64	245	147	359	254
"TNFRSF21_7250"	1023	970	436	295	1521	1076	574	401
"TNFSF13_7259"	0	0	0	0	1	0	0	0
"TNFSF13_7260"	33	25	21	7	111	21	62	21
"TNIP1_7262"	3047	2698	1090	624	8979	6859	1285	1017
"TOMM34_7272"	400	431	623	366	1048	968	862	587
"TOMM70_7276"	326	313	194	132	598	478	335	240
"TOP2A_7277"	69	46	130	155	206	184	794	400
"TOPBP1_7280"	23	23	31	25	51	20	127	83
"TOR1A_7283"	170	164	207	181	308	252	622	386
"TP53_7287"	10	7	23	18	33	12	61	62
"TP53BP1_7288"	2	0	6	10	12	3	7	2
"TP53BP2_7289"	0	0	9	1	0	3	6	1
"TPD52L2_7294"	27	16	26	20	48	65	132	65
"TPRKB_7298"	9	7	17	5	20	14	19	21
"TPX2_7308"	195	162	603	454	359	327	1690	1002
"TRAF6_7314"	5	3	5	6	6	9	14	3
"TRAK2_7315"	133	135	59	29	232	162	138	91
"TRAM1_7316"	768	561	681	537	1429	1220	1793	794
"TRAM2_7319"	296	306	260	195	562	525	481	311
"TRAP1_7320"	0	4	0	0	3	2	10	0
"TRAPPC3_7327"	749	755	759	502	899	614	1465	880
"TRAPPC6A_7328"	0	0	0	0	3	5	1	0
"TRIB1_7336"	179	157	362	234	221	161	590	213
"TRIB3_7337"	917	777	848	594	1889	2006	885	653
"TRIM13_7340"	1	0	1	0	0	0	1	0
"TRIM2_7343"	38	36	15	18	75	44	140	75
"TRPC7_7358"	0	0	0	0	6	0	3	0
"TSC22D3_7366"	2091	2023	815	578	3072	2198	1112	766
"TSEN2_7367"	346	346	194	111	575	549	247	201
"TSHB_7368"	1	0	7	0	0	3	0	1
"TSKU_7371"	12082	13047	1979	1065	22900	15960	2720	2033
"TSPAN3_7378"	17	12	20	5	40	46	31	15
"TSPAN4_7379"	0	1	2	3	1	10	8	3
"TSPAN6_7380"	0	2	0	0	5	7	0	3
"TSTA3_7382"	73	59	69	34	108	122	135	99
"TTK_7394"	19	8	29	14	35	25	102	84
"TTR_7397"	51562	56118	3893	1936	32645	23930	10836	8161
"TUBA1B_7399"	502	346	538	475	1397	1347	1180	827
"TUBA1C_7400"	56	37	26	50	85	45	230	147
"TUBB3_7409"	0	4	6	1	0	6	15	3
"TUBB6_7410"	0	0	0	0	6	0	2	0
"TWF2_7415"	2405	2303	1882	1108	5127	4050	4828	2218
"TXLNA_7419"	1295	1340	1418	1078	2330	1937	3533	2138
"TXLNG2P_7420"	0	0	0	0	0	0	0	0
"TXNDC9_7433"	723	670	499	478	1672	1307	1621	1218
"TXNL4B_7437"	1794	1715	1491	965	3118	2262	1954	1349
"TXNRD1_7440"	987	767	385	207	844	491	630	371
"TYROBP_7448"	1	1	3	2	0	2	5	1
"UBA3_7456"	144	113	128	99	154	143	309	117
"UBA52_7459"	2697	2463	2195	1866	4684	3963	5306	4239
"UBE2C_7468"	2	2	21	0	1	0	12	7
"UBE2G1_7477"	523	436	239	199	536	459	483	307
"UBE2J1_7482"	7	9	3	0	8	8	3	3
"UBE2L6_7483"	2112	2334	1379	855	3871	2907	2612	1763
"UBE2Q2_7491"	729	591	507	338	1216	1104	1006	787
"UBE2T_7492"	23	18	92	55	188	209	186	138
"UBE2V2_7495"	194	185	120	96	404	333	250	189
"UBE3B_7499"	61	66	41	57	132	77	81	81
"UBE3C_7502"	23	30	25	10	29	19	52	16
"UBQLN2_7511"	214	192	135	136	368	282	452	307
"UBR7_7515"	249	250	617	401	366	259	850	500
"UFM1_7522"	823	741	785	608	1242	976	1221	869
"UGDH_7525"	23274	21049	6988	4429	36016	27953	11768	8552
"UGT1A_7531"	4	0	1	0	5	1	0	0
"UGT1A3_7534"	20	9	19	14	41	24	5	1
"UGT1A4_7535"	2	1	0	0	2	4	2	0
"UGT1A5_7536"	0	1	3	0	8	7	0	0
"UGT1A6_7540"	732	654	177	108	1670	1144	173	127
"UGT1A7_7542"	0	0	0	0	6	0	0	1
"UGT1A9_7544"	331	291	28	9	241	150	48	45
"UGT2B7_7548"	85	41	27	31	92	88	168	100
"UNC50_7554"	2793	2458	2242	1386	2807	2435	2912	1805
"UQCRFS1_7566"	1499	1275	801	563	3193	2370	1373	1094
"UQCRQ_7569"	791	702	332	328	2043	1609	941	804
"USO1_7576"	312	264	164	142	423	316	267	169
"USP1_7579"	18	11	38	23	13	12	37	32
"USP14_7582"	2982	2523	2111	1563	4124	3318	2943	1658
"USP18_7584"	168	181	94	62	277	205	277	167
"USP22_7587"	292	284	311	212	688	592	974	528
"USP6NL_7599"	97	70	65	45	130	92	92	55
"USP7_7602"	505	491	206	152	1403	1045	529	460
"USP9Y_7605"	0	0	0	0	1	0	0	0
"UTP14A_7606"	70	60	91	69	128	91	76	53
"VAMP2_7615"	337	346	521	382	569	424	866	434
"VAMP7_7620"	1207	1242	1057	678	1954	1604	1931	1408
"VAPB_7621"	54	74	42	10	85	96	43	27
"VAT1_7625"	14	5	16	5	31	6	39	12
"VAV3_7626"	2	2	0	0	3	1	0	0
"VBP1_7629"	60	51	46	49	104	54	172	71
"VDAC1_7642"	11965	11121	8864	5659	22182	18607	10368	7803
"VIMP_7660"	150	118	256	162	149	139	256	121
"VPS28_7671"	49	35	42	17	75	104	95	57
"VPS4B_7681"	30	18	26	21	27	18	45	20
"VPS72_7688"	815	710	448	365	1893	1645	1250	866
"VWF_7691"	0	0	0	0	2	2	1	1
"WASF3_7695"	41	68	21	16	108	92	37	16
"WDR43_7707"	1334	1224	1730	648	1286	1151	1980	1089
"WDR61_7711"	321	282	296	205	703	502	652	494
"TBC1D31_7713"	2	6	10	0	8	3	26	8
"WDR7_7716"	18	23	9	0	36	15	2	3
"WDTC1_7722"	65	39	61	17	157	69	101	61
"WFS1_7723"	12	13	17	10	8	10	49	15
"WIPF2_7724"	23	7	20	10	52	22	53	25
"WRB_7746"	42	49	65	39	43	33	63	37
"XBP1_7759"	150	140	94	41	194	116	167	100
"XPNPEP1_7775"	308	296	246	160	535	488	298	233
"XPO7_7779"	71	51	36	16	47	47	72	54
"XRN2_7788"	320	336	396	242	407	334	616	364
"YIPF5_7795"	21	26	15	21	38	19	98	66
"YKT6_7796"	197	153	245	176	326	310	548	331
"YME1L1_7799"	176	150	207	209	237	207	248	152
"YTHDF1_7805"	31	42	29	31	70	36	175	68
"YWHAZ_7817"	2420	2036	2099	1385	3611	3455	3754	2765
"ZDHHC6_7833"	109	93	132	88	248	164	238	215
"ZMIZ1_7853"	28	25	10	3	63	85	12	4
"ZMYM2_7861"	1	0	0	0	0	0	0	1
"ZNF131_7863"	96	102	93	75	153	100	228	93
"ZNF274_7885"	44	24	46	54	33	33	107	43
"ZNF318_7889"	2	1	0	4	12	0	11	5
"ZNF395_7894"	21	13	12	5	220	153	28	19
"ZNF451_7904"	6	2	18	16	14	5	6	6
"ZNF586_7908"	13	10	5	6	54	32	10	2
"ZNF589_7909"	15	6	10	5	20	10	10	1
"ZP3_7919"	0	0	1	0	3	0	10	6
"ZW10_7927"	18	14	27	12	33	42	21	13
