ID	Ensembl_Gene_ID	Entrez_ID	pcl.1	pcl.2	pc.mean	pc.sd	NonHDACi.score	HDACi.score	std.dev	Api	Mo	Oxa	Pan	SBHA	Scr	Sodbuty	Tac	TSA	Vor	X2.DG	X5.FU	Ant	Ble	CdCl2	Cisp	CPT	HU	Tun	Vin
CPEB4	ENSG00000113742	80315	-0.110784088926371	-0.0256962854943266	0.654911901904206	1.23006529765735	-0.370405666	1.680229469	1.170540829	1.25102668503607	0.748363153847769	1.08094309875945	2.00401399806854	1.79606187025515	2.37967976243238	2.23429209394501	0.881537908855967	2.31118461811643	2.11519150456646	-1.11251209468679	-0.0513547449716091	0.747453960447968	-0.573262658509253	-0.857566624980449	-1.28880208332358	-0.13768057273277	-0.732347498329465	0.608315326525757	-0.306299665238924
DMXL1	ENSG00000172869	1657	-0.117229867573605	0.026095309613864	0.509544601600794	1.17038400325092	-0.496039683	1.515128886	1.083286109	1.58367097130746	-0.0187525093624211	1.59566938025278	1.92411604802826	1.78064467864	2.12202351375272	2.11208692899333	0.75797049087447	1.42122497386684	1.87263438708376	-0.551609794267578	-0.390561006536631	0.0270191010862703	-0.531481433860874	-1.09562892481257	-0.459350071420792	-1.27057089233653	-0.671250203463307	-0.0788416556851499	0.0618780498758459
DTWD1	ENSG00000104047	56986	0.105481550554621	-0.0152698817965754	-0.426753080588313	0.748006722863828	0.227369844	-1.080876005	0.854914264	-0.481255495242793	-0.939320560384244	-0.549337106501515	-1.60600284789455	-0.998008666667176	-1.06845117815398	-1.49036350375909	-1.17154176096493	-1.22258878764324	-1.28189014439951	-0.10949591676742	0.426583937096676	0.555610408967419	0.129655191870007	-0.368316583757954	0.260369120144386	0.682097068004162	0.312398286078424	0.349093952605826	0.0357029756032339
DYRK3	ENSG00000143479	8444	-0.117438768630885	0.0542101011050083	0.869165805765749	0.98218436764526	-0.030766832	1.769098443	0.85964732	1.86422754813974	0.844048379594601	1.84416202259817	2.04985798097167	2.00637254836798	1.96402056252602	1.92688649241753	1.26739295617695	1.89594246068775	2.02807348308815	0.141642959043604	-0.100257956055151	-0.487067364013293	-0.0585314981728196	-0.371595083204415	0.186051308936427	0.486180822224416	0.153141841673756	-0.153732337885591	-0.103501011800512
E2F8	ENSG00000129173	79733	0.113082507575848	0.013995283986726	-0.635244297290653	0.994983852999771	0.226441342	-1.496929937	0.984564218	-1.98878454735252	-1.10518824584196	-1.83623614818628	-1.69978247406669	-1.46267005587183	-1.68518974578224	-1.74479931623855	-0.549771240471098	-1.47682547777816	-1.42005211497778	0.344218898424835	0.0078247092479995	-0.166975417187894	0.422842780153401	0.0232572534679472	0.221733713751551	0.962363419823129	1.14077279045129	-0.543080819298219	-0.148543908079988
EAF2	ENSG00000145088	55840	-0.117415525372472	0.0821715791448977	0.588025705654047	0.736420565941719	-0.05837635	1.234427761	0.844443644	1.34551143960939	0.162106530311275	1.42276661056908	1.34054178599933	1.53895241402856	1.63955814615922	1.23809051895568	0.839092869841899	1.34099010442872	1.47666719116361	-0.258340759855735	0.0264060545986993	-0.000409263138653119	-0.085685337106199	-0.198113381156636	-0.125928612176105	-0.238851992808822	0.259541259320317	0.149578137679166	-0.111959603341848
ERRFI1	ENSG00000116285	54206	-0.107949141231499	-0.203471717903297	0.662231817963452	0.957984148759186	-0.133882619	1.458346254	1.02982749	1.904049571921	1.02937669988561	1.43278290595251	1.59565414259718	1.14586051069086	1.9334577339747	1.33210347963422	1.59865768304063	1.42868280370606	1.18283701297588	-0.794415084741465	-0.0229639179276393	-0.358614733023249	-0.789774620308456	-0.673126622938245	0.355640304675895	0.434352943063346	-0.911572204614213	0.477863449481017	0.9437843012234
FAM117A	ENSG00000121104	81558	-0.10569408665768	-0.0692846428828312	0.865638487531706	1.75833649662909	-0.457793897	2.189070872	1.663326543	3.05359284237826	0.382132473757657	2.95164636101528	2.55524769029328	2.38762738984384	2.80949870472836	2.52474729157128	0.4466074349925	2.33251430136364	2.4470942329456	-1.83961868986524	0.0172859720768344	0.561221328456953	-1.54401935822227	-2.50974283264963	0.858489375054082	1.00020468913047	-1.58550014954925	-0.351253232715406	0.814993926027871
FAM217B	ENSG00000196227	63939	0.112507452036389	-0.0420455487801605	-0.534442947307867	1.06670641577396	0.351797109	-1.420683003	1.088583532	-1.8494315222607	-0.545253858998946	-1.43422045383444	-1.41005106907136	-2.3050882874042	-1.7779700478396	-1.64341213555133	-0.0572910575194069	-1.56466512109469	-1.61944647819434	0.910831434056582	0.0917919288861412	-0.293714744425309	1.01557662502102	0.0576301170354243	0.692693470386569	0.558787705531648	0.68380079290251	0.101535653685396	-0.3009618974683
FAS	ENSG00000026103	355	0.110886529137565	-0.141954936892785	-0.482134315794947	0.980904987988725	0.352668889	-1.31693752	1.006755574	-1.789059812345	0.00738905285192164	-1.32290740402882	-1.76388844931027	-1.33591358174114	-1.56239661001442	-1.69030749878696	-0.751522440510122	-1.56615253154965	-1.39461592694804	-0.200652653589602	0.740753870388639	-0.231515981582097	0.435004854888791	0.00731731813585079	0.254942572657477	0.149405179670854	0.733833934903056	0.928785318502856	0.708814472507738
